Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Variable Unit,Value,Conversion Value,portfolio
Wind,Wind turbine,Electricity,Megawatts,MW,2030,1428.5714285714287,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2031,1666.6666666666667,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2032,1904.7619047619048,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2033,2142.857142857143,Jobs,Graduate Degree,# of New Jobs,0.00113,0.26904761904761926,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2034,2380.952380952381,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2035,2619.0476190476193,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2036,2857.1428571428573,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2037,3095.2380952380954,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2038,3333.3333333333335,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2039,3571.4285714285716,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2040,3809.5238095238096,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2041,4047.6190476190477,Jobs,Graduate Degree,# of New Jobs,0.00113,0.269047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2042,4285.714285714286,Jobs,Graduate Degree,# of New Jobs,0.00113,0.26904761904761954,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2043,4523.809523809525,Jobs,Graduate Degree,# of New Jobs,0.00113,0.26904761904761954,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2044,4761.904761904763,Jobs,Graduate Degree,# of New Jobs,0.00113,0.26904761904761954,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
