Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Buildout,Conversion Factor MJ,Unit MJ,Effective Unit,Effective Energy Factor,Energy Produced,Energy Unit,Generated Emissions in F2C,Use,Weight,Compared to,Useful Output Unit,Adjustment Factor,Carbon Intensity of Use,Adjusted Energy Used in MJ,Emissions Avoided in C2U,Net Avoided Emissions,Net Avoided Emissions Unit,portfolio
Wind,Wind turbine,Electricity,Megawatts,MW,2038,270,3599.822568,MJ per MWh,Effective MWh per MW,2242.268349,2179377416,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,24.7566,2179377416,53953974946,0.053953975,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2039,270,3599.822568,MJ per MWh,Effective MWh per MW,2222.226785,2159897975,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,23.58322989,2159897975,50937370500,0.05093737,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2040,270,3599.822568,MJ per MWh,Effective MWh per MW,2202.18522,2140418535,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,22.40985979,2140418535,47966479241,0.047966479,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2041,270,3599.822568,MJ per MWh,Effective MWh per MW,2182.143655,2120939094,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,21.23648968,2120939094,45041301169,0.045041301,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2042,270,3599.822568,MJ per MWh,Effective MWh per MW,2162.102091,2101459653,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,20.06311957,2101459653,42161836284,0.042161836,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2043,270,3599.822568,MJ per MWh,Effective MWh per MW,2142.060526,2081980212,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,18.88974946,2081980212,39328084586,0.039328085,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2044,270,3599.822568,MJ per MWh,Effective MWh per MW,2122.018961,2062500772,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,17.71637935,2062500772,36540046075,0.036540046,million MT CO2e,Portfolio - Current Projects 1.29.2024
Wind,Wind turbine,Electricity,Megawatts,MW,2045,270,3599.822568,MJ per MWh,Effective MWh per MW,2101.977397,2043021331,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,16.54300924,2043021331,33797720752,0.033797721,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2025,672.7272727,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,2836047415,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,40.01041142,2836047415,1.13471E+11,0.113471424,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2026,1345.454545,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,5672094830,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,38.83704132,5672094830,2.20287E+11,0.220287381,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2027,2018.181818,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,8508142245,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,37.66367121,8508142245,3.20448E+11,0.320447872,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2028,2690.909091,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,11344189660,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,36.4903011,11344189660,4.13953E+11,0.413952896,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2029,3363.636364,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,14180237075,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,35.31693099,14180237075,5.00802E+11,0.500802454,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2030,4036.363636,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,17016284490,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,34.14356088,17016284490,5.80997E+11,0.580996545,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2031,4709.090909,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,19852331905,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,32.97019077,19852331905,6.54535E+11,0.65453517,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2032,5381.818182,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,22688379320,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,31.79682066,22688379320,7.21418E+11,0.721418328,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2033,6054.545455,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,25524426735,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,30.62345055,25524426735,7.81646E+11,0.78164602,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2034,6727.272727,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,28360474150,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,29.45008044,28360474150,8.35218E+11,0.835218245,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2035,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,28.27671033,31196521565,8.82135E+11,0.882135004,million MT CO2e,Portfolio - Current Projects 1.29.2024
Li Battery,Battery Storage,Electricity,Megawatts,MW,2036,7400,3599.822568,MJ per MWh,Effective MWh per MW,1171.098319,31196521565,MJ,0,Power Grid,1,Average Grid Electricity,MWh,1,27.10334022,31196521565,8.4553E+11,0.845529938,million MT CO2e,Portfolio - Current Projects 1.29.2024
